id;conversation_id;created_at;date;time;timezone;user_id;username;name;place;tweet;language;mentions;urls;photos;replies_count;retweets_count;likes_count;hashtags;cashtags;link;retweet;quote_url;video;thumbnail;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1.40119E+18;1.40119E+18;2021-06-05 22:05:27 SE Asia Standard Time;05/06/2021;22:05:27;700;1.33185E+18;nuchano;nurul ✰;;@aurumstay @schfess semangat yaa key!! 😆💗 semoga tesnya lancar dan kamu keterima di sekolah yang kamu mau 😄😄 ayo kita semangat sama2 huhu aku juga baru mau daftar soalnya 😭😭  https://t.co/XkDYFFh6DG;in;[];[];['https://pbs.twimg.com/tweet_video_thumb/E3IKA3OVoAQ6BgS.jpg'];1;0;0;[];[];https://twitter.com/nuchano/status/1401193454235840515;FALSE;;1;https://pbs.twimg.com/tweet_video_thumb/E3IKA3OVoAQ6BgS.jpg;;;;;;;[{'screen_name': 'aurumstay', 'name': 'Keiynnie💙', 'id': '1349286998377340929'}, {'screen_name': 'schfess', 'name': 'SCHFESS', 'id': '1201673806156161025'}];;;;
1.40118E+18;1.40118E+18;2021-06-05 21:29:34 SE Asia Standard Time;05/06/2021;21:29:34;700;1.26865E+18;c7hl94;njaa;;apa yg buat gw kek gini, gw cerita walaupun itu 1/5 dari masalah gw tapi dia dengerin cerita gw trus gw diajak makan ayam bakar di resto, selama makan itu cuma diem doang hihi, abis itu gw diantar pulang dan ya cuma itu yg buat gw semangat buat belajar, sekolah, ke—gereja dan se—;in;[];[];[];1;0;0;[];[];https://twitter.com/C7HL94/status/1401184425841287176;FALSE;;0;;;;;;;;[];;;;
1.40117E+18;1.401E+18;2021-06-05 20:32:03 SE Asia Standard Time;05/06/2021;20:32:03;700;1.22365E+18;kysya041;Kaiko_chi04🍵🧁 - キレイサカ;;"@zahraaysha_ Huhuhu.. iya, aku cuma kurang motivasi belajar aja sih :"") semangat kurang... Makasih saran dan support nya, pengen dah belajar bareng gitu Ama temen.. jadi kek lebih semangat gitu, makanya aku lebih suka sekolah tatap muka ketimbang online..";in;[];[];[];1;0;1;[];[];https://twitter.com/KySya041/status/1401169949201076230;FALSE;;0;;;;;;;;[{'screen_name': 'zahraaysha_', 'name': 'Safina Zahra Ayesha', 'id': '1393528232826138627'}];;;;
1.40116E+18;1.40115E+18;2021-06-05 19:32:58 SE Asia Standard Time;05/06/2021;19:32:58;700;1.37845E+18;kangjoonmin;Kang Joon-min;;@schfess Tetap semangat 🔥. Aku juga dulu pas ppdb enggak tau apa-apa dan stres, soalnya takut enggak diterima di sekolah yang aku mau. Kamu harus coba bertanya seputar ppdb kepada guru kamu, biasanya suka ada sosialisasi tentang sistem ppdb dan juga co;in;[];[];[];0;0;0;[];[];https://twitter.com/KangJoonMin/status/1401155084013031426;FALSE;;0;;;;;;;;[{'screen_name': 'schfess', 'name': 'SCHFESS', 'id': '1201673806156161025'}];;;;
1.40115E+18;1.40115E+18;2021-06-05 19:31:44 SE Asia Standard Time;05/06/2021;19:31:44;700;738699002;kevin_gotama;Kevin Gotama 吴信杰;;Aku ada pantun buat @gabyJKT48                                             Ke Cimanggis membeli buku Buku tulis utk sekolah nanti Bgtu bnyak gadis yg mengejarku Hnya km yg ada di hati.              Semangat perform hari ini dan selalu jaga kesehatan ya 😘#TunasDiBalikSeragamJKT48;in;[{'screen_name': 'gabyjkt48', 'name': 'gabriela warouw', 'id': '432749721'}];[];[];0;0;0;['tunasdibalikseragamjkt48'];[];https://twitter.com/kevin_gotama/status/1401154773114445829;FALSE;;0;;;;;;;;[];;;;
1.40115E+18;1.40115E+18;2021-06-05 19:24:02 SE Asia Standard Time;05/06/2021;19:24:02;700;1.23034E+18;unine_ina;UNINE INDONESIA;;210605 陈宥维工作室0fficial weibo update..   Buku harian Chen Youwei tentang pemain tenis meja yang menyerang!  Pemain sekolah menengah Cheorwon No. 3 Xiao Ye Zi 陈宥维 bermain dengan penuh semangat, heroik dan tak terkalahkan!  #UNINE #陈宥维 #ChenYouwei  https://t.co/p9BiE17JTH;in;[];[];[];1;2;2;['unine', '陈宥维', 'chenyouwei'];[];https://twitter.com/UNINE_INA/status/1401152835194998786;FALSE;;1;https://pbs.twimg.com/ext_tw_video_thumb/1401152603849859077/pu/img/k1QoB5jn8J_r8LMK.jpg;;;;;;;[];;;;
1.40115E+18;1.40115E+18;2021-06-05 19:22:44 SE Asia Standard Time;05/06/2021;19:22:44;700;284396136;rachma_675;LuckyEls;;Teringat waktu masih sekolah aku yang memiliki mata Belo aku disebut dengan teman mata jengkol , oh itsok no problem ,aku tetap bersyukur dengan pemberian Tuhan walaupun aku mata Belo tapi aku harus percaya diri dan terus semangat #ImPerfectBeauty;in;[];[];[];0;0;0;['imperfectbeauty'];[];https://twitter.com/rachma_675/status/1401152508324577286;FALSE;;0;;;;;;;;[];;;;
1.40112E+18;1.40112E+18;2021-06-05 17:03:37 SE Asia Standard Time;05/06/2021;17:03:37;700;1.30329E+18;cimengstyles;cimeng ia;;"dan gue yg kaya ""semoga ga satu sekolah lagi deh anj"" dan plot twist nya adalah gue satu sekolah bareng dia 🙃 semangat jingga❤️";in;[];[];[];0;0;0;[];[];https://twitter.com/cimengstyles/status/1401117498355847172;FALSE;;0;;;;;;;;[];;;;
1.4011E+18;1.40108E+18;2021-06-05 16:02:05 SE Asia Standard Time;05/06/2021;16:02:05;700;1.22641E+18;jeonlvo;khofifah⁷ | on exam 📚;;@subschfess sekolah pls sekolah jujur kelas 7 ini gue belum ngerasain bangku kelas , dan menurut ku sekarang lebih baik offline karena online ti gimana ya buat kaya gak semangat sekolah bagi aku gak efektif , gue pengen sekolah ...;in;[];[];[];0;0;0;[];[];https://twitter.com/jeonlvo/status/1401102011471253504;FALSE;;0;;;;;;;;[{'screen_name': 'subschfess', 'name': 'OPEN DM - SOAL 19:00‼️', 'id': '1244113314398875649'}];;;;
1.4011E+18;1.16956E+18;2021-06-05 15:54:38 SE Asia Standard Time;05/06/2021;15:54:38;700;1.37256E+18;btsarmy00030420;BTSARMY⁷;;@BTS_twt Masalah kan? Jujur ya sekarang itu aku ga ada semangat hidup sama sekali. Aku pengen. Mati aja. Aku udah cape sama semua ini. Dan juga besok aku harus wajib ke sekolah buat tandatangan surat kelulusan 🥺 aku lagi sakit banget tapi ga pernah ada;in;[];[];[];2;0;0;[];[];https://twitter.com/BTSARMY00030420/status/1401100137028481024;FALSE;;0;;;;;;;;[{'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}];;;;
